crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 70 | tco_bt_hlv_c_nm: 유통 | tco_bt_mcls_c_nm: 유통업 | tco_btc_nm: 농협운영 연쇄점 | sl_am: 57064000 | sl_ct: 1923
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 30 | tco_bt_hlv_c_nm: 유통 | tco_bt_mcls_c_nm: 전자상거래 | tco_btc_nm: 상품권(온라인) | sl_am: 878743000 | sl_ct: 3695
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 유통 | tco_bt_mcls_c_nm: 전자상거래 | tco_btc_nm: 상품권(온라인) | sl_am: 2820000 | sl_ct: 13
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 30 | tco_bt_hlv_c_nm: 유통 | tco_bt_mcls_c_nm: 전자상거래 | tco_btc_nm: 상품권(온라인) | sl_am: 889949000 | sl_ct: 7115
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 60 | tco_bt_hlv_c_nm: 유통 | tco_bt_mcls_c_nm: 전자상거래 | tco_btc_nm: 상품권(온라인) | sl_am: 106045000 | sl_ct: 913
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 20 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 관람 | tco_btc_nm: 동물원／박물관 | sl_am: 466000 | sl_ct: 18
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 70 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 취미교양용품 | tco_btc_nm: 상품권 | sl_am: 5874000 | sl_ct: 120
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 20 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 종합교육관련상품 | tco_btc_nm: 사무용품(전산소모품) | sl_am: 432000 | sl_ct: 90
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 70 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 학원 | tco_btc_nm: 기타학원 | sl_am: 55732000 | sl_ct: 166
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 20 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 교육기관 | tco_btc_nm: 초/중/고등학교 | sl_am: 2395000 | sl_ct: 44
